Sub,Run,Condition,Response,Trigger,T2,T3,T4,T5,T6,T7,T8,T9,T10,A6,A7,A8,A9,A10,A11,A12,A13,A14,FzMaxAmp,PzMaxAmp,F3MaxAmp,P3MaxAmp,F4MaxAmp,P4MaxAmp,ExtraTrials
OHL_01,WIN_1,24dB,Cor,21,1.36647137052712,1.26228427846051,1.38821831070175,1.09957324221692,0.9235639756723,0.393908957428184,0.315705764403555,0.263344097937214,0.134997759454588,0.294148953414067,0.24961613764535,0.122075879148252,0.0734213419377518,0.161832446740045,0.276346705748128,0.0657694812863389,0.0158822777078484,0.0519289915941396,11.6723070174571,6.52001113216353,10.1014018025088,11.138038127136,15.0750232181918,9.61237083593374,
OHL_01,WIN_1,24dB,Cor,23,2.48997935526923,1.89717542622777,0.142598844345055,0.178045920729096,0.262874370330646,0.272809393745206,0.170379263356821,0.14838512737628,0.307897882531374,0.154754017022172,0.122614841092053,0.10159667224076,0.159609137655756,0.121628530625463,0.164701283788608,0.23999443975068,0.444452986215103,0.358217152083001,12.0035063948283,9.85695886916227,11.1787650370402,9.77855973884929,16.8564600267912,12.4808611649947,
OHL_01,WIN_1,24dB,Cor,25,0.439002792216521,0.48284565452891,0.710433843736039,0.462779588101257,0.593774908854033,0.471452340044111,0.285949982448314,0.228386673369718,0.783449393274684,0.0760614659683493,0.105003600982502,0.0888596376622992,0.0949720257300339,0.360221980372786,0.339492459125207,0.294041286992111,0.259029805548134,0.117952617026331,10.5452415796649,8.75970447970021,11.5496381903891,9.24791766244785,14.9311129059127,11.3599458284294,
OHL_01,WIN_1,24dB,Cor,27,6.69316720804618,4.29138093335491,1.14788742106418,0.800793347382477,1.05488959837242,0.358573283428722,0.331278026302684,0.617362457430262,0.292905410530538,0.457247122665257,0.217677464826575,0.235666014380611,0.273810574294209,0.497690917913485,0.278104915442294,0.366713734148908,0.48885639907024,0.289991998446949,16.3397621528306,8.93321990905605,16.8667076203841,10.827057158874,17.1854031871793,11.8396872382894,
OHL_01,WIN_1,24dB,Cor,29,3.02713796160338,1.87823115394014,0.409937715133592,0.281748413727149,0.519365626352782,0.100365441107651,0.0743570009513663,0.135913144606639,0.775880917643573,0.627307360346699,0.0809065464378738,0.0569423778857295,0.0443290734240553,0.473711719775998,0.275298831427898,0.252718793397601,0.327512211779477,0.0522810705236309,12.8006415862271,11.7883139565152,13.7547059854467,7.16935070297784,16.6530664063316,12.719123441993,
OHL_01,WIN_1,20dB,Cor,31,6.76028239796508,4.39122822602723,0.560374361978816,0.167260560884635,1.34477286521855,0.779406639011492,0.453757233026948,0.273072805895307,0.661928903590466,0.39144415264431,0.190513892803251,0.0963406478519728,0.0510411043428681,0.360428088111767,0.339122557995189,0.277569135290825,0.241895478854438,0.0911064924811568,25.2488327385571,9.54130629599202,16.9066726984675,9.47136943558064,13.8029200125418,8.20366323220714,
OHL_01,WIN_1,20dB,Cor,33,1.49658690530255,0.861037903840499,0.469181122803312,0.216617711534644,0.395082661545817,0.275612736719874,0.265757627540075,0.379208982345382,0.265077554828718,0.223803716358446,0.232555826117895,0.0810162654116588,0.0391614391130824,0.0975654200153789,0.109070784289424,0.147727359746435,0.224552990910876,0.0326421217104488,13.150218468863,7.33477511855857,16.2536973645562,7.53795240889921,19.5434194291855,13.0869881065404,
OHL_01,WIN_1,20dB,Cor,35,2.29345265125941,2.25939442711642,0.815613590857931,0.517332358458494,0.356494809708394,0.394856735384773,0.289298884850042,0.225835277229999,0.173548566900869,0.31591176578248,0.256570375107638,0.172738382366479,0.128126269157753,0.127972599996178,0.242818223294508,0.218723217199065,0.320163652056741,0.254093708971568,10.7468322582614,8.04795872152371,15.0800789185313,7.05939971949895,18.311573593103,43.8792621947618,
OHL_01,WIN_1,20dB,Cor,37,5.51855810494027,1.61625689090952,1.00842296207012,1.24244091062098,1.53711579367948,0.653043152015991,0.55928837257544,0.518496036166853,0.540964597402726,0.698285355621207,0.0722481266011816,0.086741294278255,0.318615600838085,0.356271507150973,0.0870723685144825,0.106843916737421,0.14293800815609,0.192555106476057,10.010660700773,8.8236039656032,24.4796750814156,13.1189397969918,27.1772307158194,19.2924211838438,
OHL_01,WIN_1,20dB,Cor,39,2.20098131894367,1.34098665799159,0.54934121702319,0.550880786481743,0.590409644206958,0.442774735925923,0.311225099073115,0.227079818750861,0.0529239098363655,0.449660529265118,0.170973498502871,0.117934560207581,0.0922837311087163,0.0969500875222368,0.0821440925621431,0.065283008295722,0.0591427219034869,0.00529731283479183,12.4358995433726,8.80090003015548,12.3910409233896,7.60780266907096,19.6355591821282,9.29404700390291,
